ID,Category,Name,AssessmentStatus,Method,MethodOption,GetCommand,SetCommand,User,RegistryPath,RegistryItem,DefaultValue,RecommendedValue,TypeValue,Operator,Severity,Level ,Graphical Method,UIX Impact,Use,Mode,Intro,Link for more infos,Tags,Consequences,Advice,Notes,Comment,GetFullCommand,SetFullCommand,Possible values,OS
1001,Updates,Software Update : Automatically check new software updates,Automatically,Registry,,,,,/Library/Preferences/com.apple.SoftwareUpdate,AutomaticCheckEnabled,true,true,bool,=,Medium,1,"->1. Open System Preferences
->2. Select Software Update
->3. Select Advanced
->4. Verify that « Check for updates » is selected",0,1,Basic,"Auto Update verifies that your system has the newest security patches and software updates. If ""Automatically check for updates"" is not selected background updates for new malware definition files from Apple for XProtect and Gatekeeper will not occur.",https://developer.apple.com/documentation/devicemanagement/softwareupdate/,Automatic;Updates,"Without automatic update, updates may not be made in a timely manner and the system will be exposed to additional risk.",It is important that a system has the newest updates applied so as to prevent unauthorized persons from exploiting identified vulnerabilities., ,,,,Bool : true; false,
1002,Updates,Software Update : Automatically download new software updates,Automatically,Registry,,,,,/Library/Preferences/com.apple.SoftwareUpdate,AutomaticDownload,true,true,bool,=,Medium,1,"->    1. Open System Preferences
->    2. Select Software Update
->    3. Select Advanced
->    4. Verify that « Download new updates when available » is selected",0,1,Basic,This policy download new updates automaticly,https://developer.apple.com/documentation/devicemanagement/softwareupdate/,Automatic;Update;Download,"If ""Download new updates when available"" is not selected, updates may not made in a timely manner and the system will be exposed to additional risk.",It is important that a system has the newest updates applied so as to prevent unauthorized persons from exploiting identified vulnerabilities.,,,,,Bool : true; false,
1003,Updates,Software Update : Enable system data files updates install,Automatically,Registry,,,,,/Library/Preferences/com.apple.SoftwareUpdate,ConfigDataInstall,true,true,bool,=,Medium,1,-> 1. Open System Preferences -> 2. Select Software Updates -> 3. Select Advanced -> 4. Verify that Install system data files and security updates is selected,0,1,Basic,This policy install and update system data files,https://developer.apple.com/documentation/devicemanagement/softwareupdate/,Updates ; Install,Unpatched software may be exploited.,Patches need to be applied in a timely manner to reduce the risk of vulnerabilities being exploited.,,,,,Bool : true; false,
1004,Updates,Software Update : Enable security updates install,Automatically,Registry,,,,,/Library/Preferences/com.apple.SoftwareUpdate,CriticalUpdateInstall,true,true,bool,=,Medium,1,-> 1. Open System Preferences -> 2. Select Software Updates -> 3. Select Advanced -> 4. Verify that Install system data files and security updates is selected,0,1,Basic,This policy allow security updates/installation,https://developer.apple.com/documentation/devicemanagement/softwareupdate/,Updates ; Install ; Security,Unpatched software may be exploited.,Patches need to be applied in a timely manner to reduce the risk of vulnerabilities being exploited.,,,,,Bool : true; false,
1005,Updates,Software Update : Automatically install macOS updates,Automatically,Registry,,,,,/Library/Preferences/com.apple.SoftwareUpdate,AutomaticallyInstallMacOSUpdates,false,true,bool,=,Medium,1,"->    1. Open System Preferences
->    2. Select Software Update
->    3. Select Advanced
->    4. Verify that « Install MacOS updates » is selected",0,1,Basic,This policy install MacOS updates automaticly,https://developer.apple.com/documentation/devicemanagement/softwareupdate/,Automatic;Updates; Install,Unpatched software may be exploited.,Patches need to be applied in a timely manner to reduce the risk of vulnerabilities being exploited.,,,,,Bool : true; false,
1100,Updates,AppStore : Automatically keep apps up to date from app store,Automatically,Registry,,,,,/Library/Preferences/com.apple.commerce,AutoUpdate,false,true,bool,=,Medium,1,"->    1. Open System Preferences
->    2. Select Software Update
->    3. Select Advanced
->    4. Verify that « Install apps updates from AppStore » is selected",0,1,Basic,This policy install apps from AppStore updates automaticly,https://developer.apple.com/documentation/devicemanagement/softwareupdate/,Automatic;Updates; Install ; Apps,Unpatched software may be exploited.,Patches need to be applied in a timely manner to reduce the risk of vulnerabilities being exploited.,,,,,Bool : true; false,
2000,Login/Logout,Sleep : AC display sleep timer,Automatically,PlistBuddy,-c,,,,/Library/Preferences/com.apple.PowerManagement.plist,'AC Power':'Display Sleep Timer',10,5,,=,Medium,ND,"->    1. Open System Preferences
->    2. Select Battery
->    3. Select Power Adapter
->    4. Verify that « Turn display off after : “ is set to 5",2,1,Basic,This policy turn off the display after a time of inactivity when your computer is using his battery.,https://support.apple.com/guide/mac-help/set-sleep-and-wake-settings-mchle41a6ccd/mac,Battery ; Sleep ; Display,,,,,,,Number : 1 to infinity ; 0 (Never),
2001,Login/Logout,Sleep : Battery display sleep timer,Automatically,PlistBuddy,-c,,,,/Library/Preferences/com.apple.PowerManagement.plist,'Battery Power':'Display Sleep Timer',2,2,,=,Medium,ND,"->    1. Open System Preferences
->    2. Select Battery
->    3. Select Battery
->    4. Verify that “Turn display off after : “ is set to 2",2,1,Basic,This policy turn off the display after a time of inactivity when your computer is charging.,https://support.apple.com/guide/mac-help/set-sleep-and-wake-settings-mchle41a6ccd/mac,Battery ; Sleep ; Display,,,,,,,Number : 1 to infinity ; 0 (Never),
2100,Login/Logout,Screen Saver : Enable prompt for a password on screen saver,,Registry,,,,,com.apple.screensaver,askForPassword,false,true,bool,=,High,ND,"->    1. Open System Preferences
->    2. Select Security & Privacy
->    3. Verify that “Require password <time> after sleep or screen saver begin“ is selected",2,1,Basic,This policy ask for a password after sleep or screen saver begins,https://developer.apple.com/documentation/devicemanagement/screensaver,Password ; Sleep,,,,,,,Number : 1 to infinity ; 0 (Never),
2101,Login/Logout,Screen Saver : Set password delay,,Registry,,,,,com.apple.screensaver,askForPasswordDelay,,0,int,<=,High,ND,"->    1. Open System Preferences
->    2. Select Security & Privacy
->    3. Verify that “Require password <time> after sleep or screen saver begin“ <time> is set to immediately",2,1,Basic,This policy set the time after the password is asked,https://developer.apple.com/documentation/devicemanagement/screensaver,Password ; Sleep ; Timer,,"If true, the user is prompted for a password when the screen saver is unlocked or stopped. When you use this prompt, you must also provide askForPasswordDelay. Available in macOS 10.13 and later. Default: false",,,,,Int : 5 ; 60 ; 300 ; 900 ; 3600  ; 14400 ; 28800,
